_c0,Player,height,weight,collage,born,birth_city,birth_state,First_Name,Last_Name
1017,Nick Weatherspoon,201,88,University of Illinois at Urbana-Champaign,1950,Greenwood,Mississippi,Nick,Weatherspoon
1018,Luke Witte,213,106,Ohio State University,1950,Philadelphia,Pennsylvania,Luke,Witte
1019,Dan Anderson,208,104,Augsburg College,1943,Minneapolis,Minnesota,Dan,Anderson
1020,Jim Ard,203,97,University of Cincinnati,1948,Harvey,Illinois,Jim,Ard
1021,Gus Bailey,196,83,University of Texas at El Paso,1951,Gibson,North Carolina,Gus,Bailey
1022,Leon Benbow,193,83,Jacksonville University,1950,Columbia,South Carolina,Leon,Benbow
1023,Ken Boyd,196,88,Boston University,1952,Frederick,Maryland,Ken,Boyd
1024,Gary Brokaw,193,80,University of Notre Dame,1954,New Brunswick,New Jersey,Gary,Brokaw
1025,Tom Burleson,218,102,North Carolina State University,1952,Crossnore,North Carolina,Tom,Burleson
1026,Harvey Catchings,206,98,Hardin-Simmons University,1951,Jackson,Mississippi,Harvey,Catchings
1027,Jim Chones,211,99,Marquette University,1949,Racine,Wisconsin,Jim,Chones
1028,Ben Clyde,201,89,Florida State University,1951,Albany,Georgia,Ben,Clyde
1029,Jesse Dark,196,95,Virginia Commonwealth University,1951,Richmond,Virginia,Jesse,Dark
1030,Rod Derline,183,79,Seattle University,1952,Elma,Washington,Rod,Derline
1031,John Drew,198,92,Gardner-Webb University,1954,Vredenburgh,Alabama,John,Drew
1032,Dennis DuVal,190,79,Syracuse University,1952,Westbury,New York,Dennis,DuVal
1033,Al Eberhard,198,102,University of Missouri,1952,Cedar Rapids,Iowa,Al,Eberhard
1034,Leonard Gray,203,108,"California State University, Long Beach",1951,Kansas City,Kansas,Leonard,Gray
1035,Bernie Harris,208,90,Virginia Commonwealth University,1950,Roanoke,Virginia,Bernie,Harris
1036,Steve Hawes,206,99,University of Washington,1950,Seattle,Washington,Steve,Hawes
1037,Tom Henderson,190,86,University of Hawaii,1952,Newberry,South Carolina,Tom,Henderson
1038,Greg Jackson,183,81,Guilford College,1952,Brooklyn,New York,Greg,Jackson
1039,Wardell Jackson,201,90,Ohio State University,1951,Yazoo City,Mississippi,Wardell,Jackson
1040,Aaron James,203,95,Grambling State University,1952,New Orleans,Louisiana,Aaron,James
1041,Mickey Johnson,208,86,Aurora University,1952,Chicago,Illinois,Mickey,Johnson
1042,Jimmy Jones,193,85,Grambling State University,1945,Tallulah,Louisiana,Jimmy,Jones
1043,Frank Kendrick,198,89,Purdue University,1950,Indianapolis,Indiana,Frank,Kendrick
1044,Len Kosmalski,213,111,University of Tennessee,1951,Cleveland,Ohio,Len,Kosmalski
1045,Bill Ligon,193,81,Vanderbilt University,1952,Nashville,Tennessee,Bill,Ligon
1046,Phil Lumpkin,183,74,Miami University,1951,Dayton,Ohio,Phil,Lumpkin
1047,Glenn McDonald,198,86,"California State University, Long Beach",1952,Kewanee,Illinois,Glenn,McDonald
1048,Eric Money,183,77,University of Arizona,1955,Detroit,Michigan,Eric,Money
1049,Connie Norman,190,79,University of Arizona,1953,Detroit,Michigan,Connie,Norman
1050,Kevin Restani,206,102,University of San Francisco,1951,San Francisco,California,Kevin,Restani
1051,Truck Robinson,201,102,Tennessee State University,1951,Jacksonville,Florida,Truck,Robinson
1052,Campy Russell,196,98,University of Michigan,1944,Chicago,Illinois,Campy,Russell
1053,Fred Saunders,201,95,Syracuse University,1951,Columbus,Ohio,Fred,Saunders
1054,Tal Skinner,196,88,University of Maryland Eastern Shore,1952,Berlin,Maryland,Tal,Skinner
1055,Don Smith,188,86,University of Minnesota,1920,Minnesota,Unknown,Don,Smith
1056,Phil Smith,193,83,University of San Francisco,1952,San Francisco,California,Phil,Smith
1057,Mike Sojourner,206,102,University of Utah,1953,Philadelphia,Pennsylvania,Mike,Sojourner
1058,Kevin Stacom,190,83,Providence College,1951,New York,New York,Kevin,Stacom
1059,George Thompson,188,90,Marquette University,1947,Brooklyn,New York,George,Thompson
1060,Dean Tolson,203,86,University of Arkansas,1951,Kansas City,Missouri,Dean,Tolson
1061,Foots Walker,183,83,State University of West Georgia,1951,Southampton,New York,Foots,Walker
1062,Bill Walton*,211,95,"University of California, Los Angeles",1952,La Mesa,California,Bill,Walton*
1063,Perry Warbington,188,74,Georgia Southern University,1952,Atlabta,Georgia,Perry,Warbington
1064,Stan Washington,193,86,University of San Diego,1952,Washington,District of Columbia,Stan,Washington
1065,Scott Wedman,201,97,University of Colorado,1952,Harper,Kansas,Scott,Wedman
1066,Owen Wells,201,90,University of Detroit Mercy,1950,Providence,Rhode Island,Owen,Wells
1067,Jamaal Wilkes*,198,86,"University of California, Los Angeles",1953,Berkeley,California,Jamaal,Wilkes*
1068,Earl Williams,201,104,Winston-Salem State University,1951,Levittown,Pennsylvania,Earl,Williams
1069,Bobby Wilson,193,83,West Virginia State University,1926,Unknown,Unknown,Bobby,Wilson
1070,Brian Winters,193,83,University of South Carolina,1952,Rockaway,New York,Brian,Winters
1071,Alvan Adams,206,95,University of Oklahoma,1954,Lawrence,Kansas,Alvan,Adams
1072,Jerome Anderson,196,88,West Virginia University,1953,Mullens,West Virginia,Jerome,Anderson
1073,Jerry Baskerville,201,86,Temple University,1951,Philadelphia,Pennsylvania,Jerry,Baskerville
1074,Bob Bigelow,201,97,University of Pennsylvania,1953,Boston,Massachusetts,Bob,Bigelow
1075,Tom Boswell,206,99,University of South Carolina,1953,Montgomery,Alabama,Tom,Boswell
1076,Junior Bridgeman,196,95,University of Louisville,1953,East Chicago,Indiana,Junior,Bridgeman
1077,Joe Bryant,206,83,La Salle University,1954,Philadelphia,Pennsylvania,Joe,Bryant
1078,Al Carlson,211,106,University of Oregon,1951,Oceanside,California,Al,Carlson
1079,Jim Creighton,203,90,University of Colorado,1950,Billings,Montana,Jim,Creighton
1080,Darryl Dawkins,211,113,Unknown,1957,Orlando,Florida,Darryl,Dawkins
1081,Henry Dickerson,193,86,University of Charleston,1951,Berkley,West Virginia,Henry,Dickerson
1082,Eric Fernsten,208,92,University of San Francisco,1953,Oakland,California,Eric,Fernsten
1083,Larry Fogle,196,92,Canisius College,1953,Brooklyn,New York,Larry,Fogle
1084,Don Ford,206,97,"University of California, Santa Barbara",1952,Santa Barbara,California,Don,Ford
1085,World B.,206,97,Unknown,1952,Unknown,Unknown,World,B.
1086,Donnie Freeman,190,83,University of Illinois at Urbana-Champaign,1944,Madison,Illinois,Donnie,Freeman
1087,Kevin Grevey,196,95,University of Kentucky,1953,Hamilton,Ohio,Kevin,Grevey
1088,Bob Gross,198,90,"California State University, Long Beach",1953,San Pedro,California,Bob,Gross
1089,Lindsay Hairston,201,81,Michigan State University,1951,Detroit,Michigan,Lindsay,Hairston
1090,Glenn Hansen,193,92,Louisiana State University,1952,Devils Lake,North Dakota,Glenn,Hansen
1091,Robert Hawkins,193,86,Illinois State University,1954,Detroit,Michigan,Robert,Hawkins
1092,Wilbur Holland,183,79,University of New Orleans,1951,Columbus,Georgia,Wilbur,Holland
1093,Lionel Hollins,190,83,Arizona State University,1953,Ark City,Kansas,Lionel,Hollins
1094,Steve Jones,196,92,University of Oregon,1942,Alexandria,Louisiana,Steve,Jones
1095,Rich Kelley,213,106,Stanford University,1953,San Mateo,California,Rich,Kelley
1096,Tom Kropp,190,92,University of Nebraska at Kearney,1953,Grand Island,Nebraska,Tom,Kropp
1097,C.J. Kupec,190,92,Unknown,1953,Unknown,Unknown,C.J.,Kupec
1098,John Lambert,208,102,University of Southern California,1953,Berkeley,California,John,Lambert
1099,John Laskowski,198,83,Indiana University,1953,South Bend,Indiana,John,Laskowski
1100,Greg Lee,190,86,"University of California, Los Angeles",1951,Reseda,California,Greg,Lee
1101,Clyde Mayes,203,102,Furman University,1953,Greenville,South Carolina,Clyde,Mayes
1102,Ken Mayfield,188,83,Tuskegee University,1948,Chicago,Illinois,Ken,Mayfield
1103,Jim McElroy,190,86,Central Michigan University,1953,Cotton Plant,Arkansas,Jim,McElroy
1104,George McGinnis,203,106,Indiana University,1950,Indianapolis,Indiana,George,McGinnis
1105,Tom McMillen,211,97,University of Maryland,1952,Elmira,New York,Tom,McMillen
1106,Joe Meriweather,208,97,Southern Illinois University,1953,Phenix City,Alabama,Joe,Meriweather
1107,Dave Meyers,203,97,"University of California, Los Angeles",1953,San Diego,California,Dave,Meyers
1108,Frank Oleynick,188,83,Seattle University,1955,Bridgeport,Connecticut,Frank,Oleynick
1109,Cliff Pondexter,206,105,"California State University, Long Beach",1954,Fresno,California,Cliff,Pondexter
1110,Bill Robinzine,201,104,DePaul University,1953,Chicago,Illinois,Bill,Robinzine
1111,John Roche,190,77,University of South Carolina,1949,New York,New York,John,Roche
1112,Bruce Seals,203,95,Xavier University of Louisiana,1953,New Orleans,Louisiana,Bruce,Seals
1113,Ed Searcy,198,95,St. John's University,1952,New York,New York,Ed,Searcy
1114,Gene Short,198,90,Jackson State University,1953,Macon,Mississippi,Gene,Short
1115,John Shumate,206,106,University of Notre Dame,1952,Greenville,South Carolina,John,Shumate
1116,Ricky Sobers,190,89,"University of Nevada, Las Vegas",1953,Bronx,New York,Ricky,Sobers
